D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0002  step: 12/100    time: 1.48 sec  loss: -0.092651  (-0.092760, 0.000110)
epoch: 0002  step: 13/100    time: 1.48 sec  loss: -0.087457  (-0.087573, 0.000116)
epoch: 0002  step: 14/100    time: 1.47 sec  loss: -0.083859  (-0.083978, 0.000119)
epoch: 0002  step: 15/100    time: 1.46 sec  loss: -0.095115  (-0.095235, 0.000120)
epoch: 0002  step: 16/100    time: 1.43 sec  loss: -0.090558  (-0.090667, 0.000109)
epoch: 0002  step: 17/100    time: 1.44 sec  loss: -0.089464  (-0.089564, 0.000101)
epoch: 0002  step: 18/100    time: 1.49 sec  loss: -0.095015  (-0.095110, 0.000095)
epoch: 0002  step: 19/100    time: 1.48 sec  loss: -0.081842  (-0.081935, 0.000093)
epoch: 0002  step: 20/100    time: 1.51 sec  loss: -0.089461  (-0.089558, 0.000097)
epoch: 0002  step: 21/100    time: 1.45 sec  loss: -0.082784  (-0.082890, 0.000107)
epoch: 0002  step: 22/100    time: 1.46 sec  loss: -0.096162  (-0.096282, 0.000120)
epoch: 0002  step: 23/100    time: 1.45 sec  loss: -0.097030  (-0.097168, 0.000138)
epoch: 0002  step: 24/100    time: 1.48 sec  loss: -0.071638  (-0.071788, 0.000151)
epoch: 0002  step: 25/100    time: 1.50 sec  loss: -0.107679  (-0.107846, 0.000167)
epoch: 0002  step: 26/100    time: 1.50 sec  loss: -0.099776  (-0.099935, 0.000159)
epoch: 0002  step: 27/100    time: 1.45 sec  loss: -0.086742  (-0.086882, 0.000139)
epoch: 0002  step: 28/100    time: 1.49 sec  loss: -0.095324  (-0.095445, 0.000121)
epoch: 0002  step: 29/100    time: 1.49 sec  loss: -0.079103  (-0.079208, 0.000104)
epoch: 0002  step: 30/100    time: 1.53 sec  loss: -0.081804  (-0.081899, 0.000095)
epoch: 0002  step: 31/100    time: 1.45 sec  loss: -0.092396  (-0.092486, 0.000090)
epoch: 0002  step: 32/100    time: 1.46 sec  loss: -0.084436  (-0.084531, 0.000095)
epoch: 0002  step: 33/100    time: 1.49 sec  loss: -0.087948  (-0.088057, 0.000109)
epoch: 0002  step: 34/100    time: 1.54 sec  loss: -0.095253  (-0.095383, 0.000130)
epoch: 0002  step: 35/100    time: 1.42 sec  loss: -0.082444  (-0.082590, 0.000146)
epoch: 0002  step: 36/100    time: 1.48 sec  loss: -0.089691  (-0.089843, 0.000152)
epoch: 0002  step: 37/100    time: 1.48 sec  loss: -0.086124  (-0.086267, 0.000143)
epoch: 0002  step: 38/100    time: 1.53 sec  loss: -0.092690  (-0.092813, 0.000123)
epoch: 0002  step: 39/100    time: 1.52 sec  loss: -0.094273  (-0.094373, 0.000100)
epoch: 0002  step: 40/100    time: 1.47 sec  loss: -0.095938  (-0.096026, 0.000088)
epoch: 0002  step: 41/100    time: 1.53 sec  loss: -0.095257  (-0.095337, 0.000080)
epoch: 0002  step: 42/100    time: 1.50 sec  loss: -0.096094  (-0.096176, 0.000081)
epoch: 0002  step: 43/100    time: 1.48 sec  loss: -0.097558  (-0.097642, 0.000084)
epoch: 0002  step: 44/100    time: 1.51 sec  loss: -0.085564  (-0.085660, 0.000096)
epoch: 0002  step: 45/100    time: 1.47 sec  loss: -0.098587  (-0.098698, 0.000111)
epoch: 0002  step: 46/100    time: 1.50 sec  loss: -0.090536  (-0.090666, 0.000130)
epoch: 0002  step: 47/100    time: 1.49 sec  loss: -0.094251  (-0.094404, 0.000153)
epoch: 0002  step: 48/100    time: 1.50 sec  loss: -0.094715  (-0.094877, 0.000161)
epoch: 0002  step: 49/100    time: 1.46 sec  loss: -0.090628  (-0.090777, 0.000149)
