D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0002  step: 31/100    time: 2.13 sec  loss: -0.098318  (-0.098430, 0.000112)
epoch: 0002  step: 32/100    time: 2.21 sec  loss: -0.086106  (-0.086213, 0.000107)
epoch: 0002  step: 33/100    time: 2.26 sec  loss: -0.095042  (-0.095146, 0.000104)
epoch: 0002  step: 34/100    time: 2.24 sec  loss: -0.094751  (-0.094850, 0.000098)
epoch: 0002  step: 35/100    time: 2.24 sec  loss: -0.088327  (-0.088432, 0.000105)
epoch: 0002  step: 36/100    time: 2.23 sec  loss: -0.093656  (-0.093768, 0.000113)
epoch: 0002  step: 37/100    time: 2.22 sec  loss: -0.099170  (-0.099303, 0.000133)
epoch: 0002  step: 38/100    time: 2.25 sec  loss: -0.091812  (-0.091961, 0.000149)
epoch: 0002  step: 39/100    time: 2.17 sec  loss: -0.092029  (-0.092214, 0.000185)
epoch: 0002  step: 40/100    time: 2.15 sec  loss: -0.095749  (-0.095970, 0.000222)
epoch: 0002  step: 41/100    time: 2.24 sec  loss: -0.087656  (-0.087864, 0.000208)
epoch: 0002  step: 42/100    time: 2.23 sec  loss: -0.091270  (-0.091456, 0.000186)
epoch: 0002  step: 43/100    time: 2.20 sec  loss: -0.102788  (-0.102940, 0.000151)
epoch: 0002  step: 44/100    time: 2.19 sec  loss: -0.096308  (-0.096428, 0.000120)
epoch: 0002  step: 45/100    time: 2.23 sec  loss: -0.098758  (-0.098863, 0.000105)
epoch: 0002  step: 46/100    time: 2.20 sec  loss: -0.097691  (-0.097789, 0.000098)
epoch: 0002  step: 47/100    time: 2.17 sec  loss: -0.089998  (-0.090099, 0.000101)
epoch: 0002  step: 48/100    time: 2.20 sec  loss: -0.093598  (-0.093704, 0.000105)
epoch: 0002  step: 49/100    time: 2.22 sec  loss: -0.101293  (-0.101410, 0.000117)
epoch: 0002  step: 50/100    time: 2.23 sec  loss: -0.091819  (-0.091951, 0.000131)
epoch: 0002  step: 51/100    time: 2.22 sec  loss: -0.094320  (-0.094473, 0.000153)
epoch: 0002  step: 52/100    time: 2.17 sec  loss: -0.097552  (-0.097717, 0.000165)
epoch: 0002  step: 53/100    time: 2.24 sec  loss: -0.102443  (-0.102616, 0.000173)
epoch: 0002  step: 54/100    time: 2.25 sec  loss: -0.098520  (-0.098681, 0.000160)
epoch: 0002  step: 55/100    time: 2.23 sec  loss: -0.101637  (-0.101782, 0.000145)
epoch: 0002  step: 56/100    time: 2.21 sec  loss: -0.107847  (-0.107983, 0.000137)
epoch: 0002  step: 57/100    time: 2.22 sec  loss: -0.086679  (-0.086811, 0.000131)
epoch: 0002  step: 58/100    time: 2.16 sec  loss: -0.094304  (-0.094436, 0.000132)
epoch: 0002  step: 59/100    time: 2.25 sec  loss: -0.090380  (-0.090517, 0.000137)
epoch: 0002  step: 60/100    time: 2.22 sec  loss: -0.098433  (-0.098586, 0.000154)
epoch: 0002  step: 61/100    time: 2.14 sec  loss: -0.090157  (-0.090328, 0.000170)
epoch: 0002  step: 62/100    time: 2.05 sec  loss: -0.092286  (-0.092466, 0.000181)
epoch: 0002  step: 63/100    time: 1.99 sec  loss: -0.101692  (-0.101889, 0.000197)
epoch: 0002  step: 64/100    time: 2.20 sec  loss: -0.100118  (-0.100365, 0.000247)
epoch: 0002  step: 65/100    time: 2.19 sec  loss: -0.097540  (-0.097820, 0.000280)
epoch: 0002  step: 66/100    time: 2.20 sec  loss: -0.094953  (-0.095279, 0.000326)
epoch: 0002  step: 67/100    time: 2.19 sec  loss: -0.098928  (-0.099286, 0.000357)
epoch: 0002  step: 68/100    time: 2.19 sec  loss: -0.099123  (-0.099389, 0.000266)
epoch: 0002  step: 69/100    time: 2.20 sec  loss: -0.089319  (-0.089607, 0.000288)
epoch: 0002  step: 70/100    time: 2.17 sec  loss: -0.108876  (-0.109253, 0.000377)
epoch: 0002  step: 71/100    time: 2.22 sec  loss: -0.098098  (-0.098568, 0.000470)
epoch: 0002  step: 72/100    time: 2.21 sec  loss: -0.094554  (-0.094967, 0.000413)
epoch: 0002  step: 73/100    time: 2.19 sec  loss: -0.096745  (-0.097334, 0.000589)
epoch: 0002  step: 74/100    time: 2.22 sec  loss: -0.097663  (-0.098101, 0.000438)
epoch: 0002  step: 75/100    time: 2.23 sec  loss: -0.095641  (-0.096193, 0.000552)
epoch: 0002  step: 76/100    time: 2.21 sec  loss: -0.097300  (-0.097714, 0.000414)
epoch: 0002  step: 77/100    time: 2.18 sec  loss: -0.097984  (-0.098568, 0.000584)
epoch: 0002  step: 78/100    time: 2.18 sec  loss: -0.100280  (-0.101131, 0.000851)
epoch: 0002  step: 79/100    time: 2.25 sec  loss: -0.098396  (-0.099369, 0.000973)
epoch: 0002  step: 80/100    time: 2.24 sec  loss: -0.100429  (-0.101357, 0.000928)
epoch: 0002  step: 81/100    time: 2.17 sec  loss: -0.106004  (-0.106731, 0.000727)
epoch: 0002  step: 82/100    time: 1.47 sec  loss: -0.106143  (-0.106679, 0.000536)
epoch: 0002  step: 83/100    time: 1.45 sec  loss: -0.087807  (-0.088478, 0.000671)
epoch: 0002  step: 84/100    time: 1.73 sec  loss: -0.092679  (-0.093910, 0.001232)
epoch: 0002  step: 85/100    time: 1.69 sec  loss: -0.091160  (-0.092293, 0.001133)
epoch: 0002  step: 86/100    time: 1.69 sec  loss: -0.102879  (-0.103743, 0.000864)
epoch: 0002  step: 87/100    time: 1.64 sec  loss: -0.097724  (-0.098475, 0.000751)
epoch: 0002  step: 88/100    time: 1.67 sec  loss: -0.098296  (-0.099313, 0.001017)
epoch: 0002  step: 89/100    time: 1.71 sec  loss: -0.095056  (-0.096015, 0.000959)
epoch: 0002  step: 90/100    time: 1.68 sec  loss: -0.104969  (-0.105603, 0.000634)
epoch: 0002  step: 91/100    time: 1.65 sec  loss: -0.096711  (-0.097925, 0.001214)
epoch: 0002  step: 92/100    time: 1.66 sec  loss: -0.103646  (-0.104397, 0.000751)
epoch: 0002  step: 93/100    time: 1.70 sec  loss: -0.102585  (-0.104354, 0.001769)
epoch: 0002  step: 94/100    time: 1.64 sec  loss: -0.107132  (-0.108928, 0.001796)
epoch: 0002  step: 95/100    time: 1.61 sec  loss: -0.110136  (-0.111097, 0.000962)
epoch: 0002  step: 96/100    time: 1.67 sec  loss: -0.101221  (-0.102676, 0.001455)
epoch: 0002  step: 97/100    time: 1.68 sec  loss: -0.102567  (-0.103275, 0.000709)
epoch: 0002  step: 98/100    time: 1.65 sec  loss: -0.106573  (-0.107222, 0.000649)
epoch: 0002  step: 99/100    time: 1.65 sec  loss: -0.091937  (-0.092641, 0.000704)
epoch: 0002  step: 100/100   time: 1.70 sec  loss: -0.099618  (-0.100385, 0.000767)
epoch: 0003  step: 1/100     time: 0.81 sec  loss: -0.084751  (-0.085756, 0.001005)
epoch: 0003  step: 2/100     time: 1.73 sec  loss: -0.101917  (-0.103403, 0.001486)
epoch: 0003  step: 3/100     time: 1.69 sec  loss: -0.097209  (-0.098469, 0.001259)
epoch: 0003  step: 4/100     time: 1.68 sec  loss: -0.100544  (-0.102365, 0.001821)
epoch: 0003  step: 5/100     time: 1.69 sec  loss: -0.100369  (-0.102865, 0.002496)
epoch: 0003  step: 6/100     time: 1.65 sec  loss: -0.095995  (-0.098155, 0.002160)
epoch: 0003  step: 7/100     time: 1.68 sec  loss: -0.096030  (-0.098192, 0.002162)
epoch: 0003  step: 8/100     time: 1.62 sec  loss: -0.090322  (-0.092408, 0.002086)
epoch: 0003  step: 9/100     time: 1.68 sec  loss: -0.100315  (-0.101365, 0.001049)
epoch: 0003  step: 10/100    time: 1.69 sec  loss: -0.102602  (-0.103440, 0.000838)
epoch: 0003  step: 11/100    time: 1.71 sec  loss: -0.100940  (-0.101788, 0.000848)
epoch: 0003  step: 12/100    time: 1.68 sec  loss: -0.103696  (-0.104592, 0.000896)
epoch: 0003  step: 13/100    time: 1.69 sec  loss: -0.092179  (-0.093791, 0.001612)
epoch: 0003  step: 14/100    time: 1.70 sec  loss: -0.099428  (-0.101168, 0.001740)
epoch: 0003  step: 15/100    time: 1.69 sec  loss: -0.105489  (-0.107315, 0.001826)
epoch: 0003  step: 16/100    time: 1.68 sec  loss: -0.112459  (-0.114211, 0.001751)
epoch: 0003  step: 17/100    time: 1.68 sec  loss: -0.104862  (-0.108022, 0.003160)
epoch: 0003  step: 18/100    time: 1.67 sec  loss: -0.090156  (-0.093564, 0.003408)
epoch: 0003  step: 19/100    time: 1.69 sec  loss: -0.101035  (-0.102988, 0.001953)
epoch: 0003  step: 20/100    time: 1.68 sec  loss: -0.094684  (-0.097113, 0.002430)
epoch: 0003  step: 21/100    time: 1.71 sec  loss: -0.099258  (-0.101177, 0.001919)
epoch: 0003  step: 22/100    time: 1.69 sec  loss: -0.097147  (-0.100784, 0.003637)
epoch: 0003  step: 23/100    time: 1.71 sec  loss: -0.107310  (-0.109627, 0.002317)
epoch: 0003  step: 24/100    time: 1.68 sec  loss: -0.105517  (-0.107126, 0.001610)
epoch: 0003  step: 25/100    time: 1.67 sec  loss: -0.096430  (-0.099924, 0.003494)
epoch: 0003  step: 26/100    time: 1.62 sec  loss: -0.105836  (-0.107233, 0.001397)
epoch: 0003  step: 27/100    time: 1.68 sec  loss: -0.104873  (-0.107787, 0.002915)
epoch: 0003  step: 28/100    time: 1.68 sec  loss: -0.098421  (-0.100111, 0.001691)
epoch: 0003  step: 29/100    time: 1.67 sec  loss: -0.105024  (-0.107249, 0.002224)
epoch: 0003  step: 30/100    time: 1.66 sec  loss: -0.095705  (-0.098619, 0.002914)
epoch: 0003  step: 31/100    time: 1.65 sec  loss: -0.097447  (-0.102990, 0.005543)
epoch: 0003  step: 32/100    time: 1.64 sec  loss: -0.094144  (-0.097742, 0.003598)
epoch: 0003  step: 33/100    time: 1.65 sec  loss: -0.097020  (-0.100956, 0.003936)
epoch: 0003  step: 34/100    time: 1.68 sec  loss: -0.092285  (-0.096336, 0.004050)
epoch: 0003  step: 35/100    time: 1.63 sec  loss: -0.103198  (-0.106125, 0.002927)
epoch: 0003  step: 36/100    time: 1.66 sec  loss: -0.107053  (-0.108827, 0.001774)
epoch: 0003  step: 37/100    time: 1.65 sec  loss: -0.090770  (-0.092384, 0.001614)
epoch: 0003  step: 38/100    time: 1.64 sec  loss: -0.103464  (-0.105216, 0.001752)
epoch: 0003  step: 39/100    time: 1.65 sec  loss: -0.098928  (-0.101532, 0.002604)
epoch: 0003  step: 40/100    time: 1.64 sec  loss: -0.093195  (-0.095138, 0.001943)
epoch: 0003  step: 41/100    time: 1.69 sec  loss: -0.088252  (-0.090543, 0.002290)
epoch: 0003  step: 42/100    time: 1.66 sec  loss: -0.104839  (-0.108411, 0.003571)
epoch: 0003  step: 43/100    time: 1.68 sec  loss: -0.109406  (-0.111571, 0.002165)
epoch: 0003  step: 44/100    time: 1.66 sec  loss: -0.102828  (-0.105439, 0.002612)
epoch: 0003  step: 45/100    time: 1.66 sec  loss: -0.108659  (-0.112857, 0.004198)
epoch: 0003  step: 46/100    time: 1.66 sec  loss: -0.100214  (-0.103336, 0.003122)
epoch: 0003  step: 47/100    time: 1.67 sec  loss: -0.099720  (-0.102750, 0.003031)
epoch: 0003  step: 48/100    time: 1.68 sec  loss: -0.108891  (-0.112568, 0.003677)
epoch: 0003  step: 49/100    time: 1.67 sec  loss: -0.094496  (-0.097642, 0.003146)
epoch: 0003  step: 50/100    time: 1.70 sec  loss: -0.107353  (-0.110456, 0.003102)
epoch: 0003  step: 51/100    time: 1.65 sec  loss: -0.100912  (-0.103804, 0.002892)
epoch: 0003  step: 52/100    time: 1.67 sec  loss: -0.108300  (-0.111105, 0.002805)
epoch: 0003  step: 53/100    time: 1.64 sec  loss: -0.103833  (-0.107018, 0.003185)
epoch: 0003  step: 54/100    time: 1.63 sec  loss: -0.092981  (-0.097890, 0.004909)
epoch: 0003  step: 55/100    time: 1.64 sec  loss: -0.097786  (-0.101611, 0.003825)
epoch: 0003  step: 56/100    time: 1.66 sec  loss: -0.110746  (-0.114359, 0.003613)
epoch: 0003  step: 57/100    time: 1.68 sec  loss: -0.110099  (-0.113054, 0.002954)
epoch: 0003  step: 58/100    time: 1.65 sec  loss: -0.112314  (-0.117044, 0.004730)
epoch: 0003  step: 59/100    time: 1.63 sec  loss: -0.113047  (-0.115749, 0.002701)
epoch: 0003  step: 60/100    time: 1.69 sec  loss: -0.103695  (-0.108069, 0.004374)
epoch: 0003  step: 61/100    time: 1.68 sec  loss: -0.111039  (-0.114228, 0.003189)
epoch: 0003  step: 62/100    time: 1.67 sec  loss: -0.112272  (-0.115890, 0.003617)
epoch: 0003  step: 63/100    time: 1.66 sec  loss: -0.102911  (-0.106234, 0.003323)
epoch: 0003  step: 64/100    time: 1.63 sec  loss: -0.103518  (-0.108860, 0.005342)
epoch: 0003  step: 65/100    time: 1.68 sec  loss: -0.106127  (-0.111884, 0.005756)
epoch: 0003  step: 66/100    time: 1.65 sec  loss: -0.109904  (-0.114628, 0.004724)
epoch: 0003  step: 67/100    time: 1.62 sec  loss: -0.102655  (-0.106068, 0.003413)
epoch: 0003  step: 68/100    time: 1.49 sec  loss: -0.103699  (-0.106507, 0.002808)
epoch: 0003  step: 69/100    time: 1.50 sec  loss: -0.102553  (-0.105989, 0.003436)
epoch: 0003  step: 70/100    time: 1.46 sec  loss: -0.107988  (-0.111448, 0.003460)
epoch: 0003  step: 71/100    time: 1.59 sec  loss: -0.097789  (-0.100439, 0.002650)
epoch: 0003  step: 72/100    time: 1.49 sec  loss: -0.101980  (-0.104199, 0.002219)
epoch: 0003  step: 73/100    time: 1.46 sec  loss: -0.099377  (-0.102562, 0.003186)
epoch: 0003  step: 74/100    time: 1.89 sec  loss: -0.109034  (-0.111863, 0.002829)
epoch: 0003  step: 75/100    time: 2.16 sec  loss: -0.098700  (-0.103184, 0.004484)
epoch: 0003  step: 76/100    time: 2.16 sec  loss: -0.116776  (-0.120430, 0.003654)
epoch: 0003  step: 77/100    time: 2.19 sec  loss: -0.104582  (-0.109062, 0.004480)
epoch: 0003  step: 78/100    time: 2.21 sec  loss: -0.111418  (-0.115623, 0.004205)
epoch: 0003  step: 79/100    time: 2.20 sec  loss: -0.102589  (-0.106990, 0.004401)
epoch: 0003  step: 80/100    time: 2.19 sec  loss: -0.103314  (-0.108740, 0.005426)
