D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0003  step: 54/100    time: 1.55 sec  loss: -0.109010  (-0.116229, 0.007218)
epoch: 0003  step: 55/100    time: 1.56 sec  loss: -0.107197  (-0.114721, 0.007525)
epoch: 0003  step: 56/100    time: 1.56 sec  loss: -0.108908  (-0.116188, 0.007280)
epoch: 0003  step: 57/100    time: 1.56 sec  loss: -0.102680  (-0.110187, 0.007507)
epoch: 0003  step: 58/100    time: 1.61 sec  loss: -0.109821  (-0.117491, 0.007670)
epoch: 0003  step: 59/100    time: 1.62 sec  loss: -0.109795  (-0.117300, 0.007505)
epoch: 0003  step: 60/100    time: 1.61 sec  loss: -0.104502  (-0.112120, 0.007619)
epoch: 0003  step: 61/100    time: 1.56 sec  loss: -0.098446  (-0.106474, 0.008029)
epoch: 0003  step: 62/100    time: 1.56 sec  loss: -0.107310  (-0.113956, 0.006646)
epoch: 0003  step: 63/100    time: 1.60 sec  loss: -0.102577  (-0.109752, 0.007175)
epoch: 0003  step: 64/100    time: 1.65 sec  loss: -0.108946  (-0.115598, 0.006652)
epoch: 0003  step: 65/100    time: 1.64 sec  loss: -0.105625  (-0.112722, 0.007097)
epoch: 0003  step: 66/100    time: 1.58 sec  loss: -0.101335  (-0.108493, 0.007158)
epoch: 0003  step: 67/100    time: 1.56 sec  loss: -0.105380  (-0.112510, 0.007131)
epoch: 0003  step: 68/100    time: 1.58 sec  loss: -0.113356  (-0.119640, 0.006284)
epoch: 0003  step: 69/100    time: 1.52 sec  loss: -0.108556  (-0.115783, 0.007227)
epoch: 0003  step: 70/100    time: 1.60 sec  loss: -0.110416  (-0.117654, 0.007239)
epoch: 0003  step: 71/100    time: 1.59 sec  loss: -0.100006  (-0.108105, 0.008099)
epoch: 0003  step: 72/100    time: 1.53 sec  loss: -0.106412  (-0.114410, 0.007999)
epoch: 0003  step: 73/100    time: 1.55 sec  loss: -0.099102  (-0.107636, 0.008533)
epoch: 0003  step: 74/100    time: 1.62 sec  loss: -0.105492  (-0.113777, 0.008285)
epoch: 0003  step: 75/100    time: 1.60 sec  loss: -0.102153  (-0.110621, 0.008468)
epoch: 0003  step: 76/100    time: 1.53 sec  loss: -0.101039  (-0.109941, 0.008902)
epoch: 0003  step: 77/100    time: 1.56 sec  loss: -0.117210  (-0.125242, 0.008032)
epoch: 0003  step: 78/100    time: 1.54 sec  loss: -0.104190  (-0.112223, 0.008034)
epoch: 0003  step: 79/100    time: 1.58 sec  loss: -0.100187  (-0.109097, 0.008911)
epoch: 0003  step: 80/100    time: 1.55 sec  loss: -0.105582  (-0.113914, 0.008332)
