file,dice_mean,jneg_pct,label_2,label_3,label_4,label_7,label_8,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_24,label_28,label_31,label_41,label_42,label_43,label_46,label_47,label_49,label_50,label_51,label_52,label_53,label_54,label_60,label_63
T091.npz,0.865674,0.000000,0.846261,0.799647,0.876606,0.866650,0.929523,0.937421,0.902302,0.921162,0.913913,0.838375,0.871232,0.946384,0.881092,0.879384,0.783259,0.901474,0.627644,0.844313,0.798110,0.883423,0.839510,0.918784,0.939855,0.899871,0.909115,0.886071,0.870039,0.900972,0.905762,0.652079
T099.npz,0.868261,0.000000,0.854025,0.791168,0.886718,0.855557,0.928221,0.937769,0.905269,0.937226,0.892950,0.831395,0.857532,0.949685,0.875142,0.896285,0.742606,0.907624,0.658512,0.853782,0.792125,0.882676,0.877682,0.932213,0.932333,0.893950,0.930131,0.908203,0.879953,0.873029,0.903002,0.681057
T108.npz,0.866130,0.000000,0.850311,0.791605,0.877813,0.873297,0.932952,0.939973,0.889637,0.928288,0.910305,0.830173,0.845582,0.949031,0.877759,0.893284,0.799281,0.896932,0.636452,0.843393,0.783608,0.871528,0.878225,0.933959,0.934146,0.884407,0.921514,0.896309,0.873671,0.876246,0.898742,0.665477
VNT006.npz,0.854771,0.000000,0.843021,0.766282,0.889457,0.864865,0.916070,0.928407,0.892190,0.915434,0.890225,0.831479,0.833496,0.947133,0.862649,0.862481,0.774239,0.896890,0.630670,0.835072,0.758039,0.884315,0.877107,0.916096,0.935684,0.894727,0.923344,0.890130,0.865998,0.850365,0.907537,0.559733
VNT017.npz,0.864883,0.000000,0.837713,0.772599,0.892683,0.864558,0.923811,0.937695,0.897662,0.916045,0.888889,0.828547,0.850619,0.947843,0.875684,0.896537,0.735055,0.905495,0.660560,0.851089,0.784064,0.878667,0.863363,0.918895,0.931391,0.897174,0.914527,0.908041,0.872998,0.888842,0.910529,0.694929
VNT019.npz,0.862844,0.000000,0.844670,0.784881,0.883080,0.875307,0.924580,0.942240,0.896040,0.918338,0.910834,0.842947,0.828099,0.945688,0.874212,0.895422,0.740625,0.912123,0.609221,0.839648,0.779435,0.865765,0.874767,0.925358,0.935003,0.881166,0.920053,0.916210,0.875302,0.889857,0.916038,0.638399
VNT028.npz,0.865824,0.000000,0.856941,0.784581,0.879753,0.864945,0.925047,0.943850,0.893034,0.916638,0.905608,0.818471,0.847094,0.945673,0.886958,0.888385,0.735649,0.902861,0.676829,0.855359,0.784625,0.884094,0.855000,0.924004,0.940718,0.903404,0.906617,0.896987,0.884183,0.906967,0.904088,0.656352
VNT045.npz,0.853131,0.000000,0.847205,0.784731,0.865313,0.842327,0.919347,0.939967,0.890828,0.930334,0.895023,0.856452,0.825289,0.944164,0.881700,0.892521,0.692247,0.903484,0.667720,0.839300,0.776326,0.863981,0.829188,0.908982,0.941112,0.899352,0.924731,0.908581,0.830083,0.885678,0.903555,0.504425
VNT048.npz,0.863317,0.000000,0.844939,0.771161,0.861997,0.865063,0.925316,0.940879,0.886154,0.923806,0.898790,0.852893,0.862723,0.947050,0.880296,0.859886,0.765943,0.909152,0.639818,0.853165,0.780662,0.866249,0.879230,0.926991,0.932056,0.887026,0.923273,0.912426,0.878805,0.869488,0.913059,0.641207
VNT057.npz,0.867565,0.000000,0.830952,0.772556,0.898613,0.880225,0.920214,0.942118,0.899614,0.923235,0.904272,0.836676,0.825832,0.943596,0.876481,0.903283,0.755703,0.913485,0.671525,0.852129,0.791437,0.892280,0.862113,0.922439,0.942966,0.900219,0.920923,0.905446,0.870940,0.856916,0.908675,0.702098
sub-0003.npz,0.864876,0.000000,0.848021,0.779853,0.886659,0.868559,0.922025,0.931304,0.900238,0.920786,0.889375,0.848065,0.867953,0.948256,0.872269,0.898244,0.709823,0.904598,0.642192,0.838834,0.770124,0.885325,0.865265,0.903503,0.938590,0.904348,0.909285,0.896135,0.879791,0.899534,0.914590,0.702749
sub-0027.npz,0.864422,0.000000,0.843228,0.765684,0.890396,0.874402,0.928745,0.940845,0.884581,0.910263,0.897875,0.830648,0.840975,0.948352,0.860634,0.880526,0.739360,0.903709,0.665980,0.855972,0.779705,0.895852,0.868860,0.912555,0.937791,0.904382,0.917393,0.897321,0.880816,0.900662,0.913646,0.661503
sub-0042.npz,0.845822,0.000000,0.828324,0.751141,0.857880,0.863047,0.918773,0.928140,0.876715,0.901207,0.887106,0.820347,0.834199,0.945810,0.844578,0.888041,0.694069,0.898238,0.553746,0.846911,0.763464,0.861863,0.871685,0.920572,0.928306,0.901235,0.906697,0.895281,0.858276,0.882152,0.905241,0.541624
sub-0043.npz,0.858920,0.000000,0.846978,0.769508,0.882098,0.870625,0.928359,0.938363,0.883202,0.892917,0.853644,0.849732,0.863501,0.950652,0.870917,0.856630,0.800137,0.899297,0.622411,0.846347,0.760282,0.878271,0.882183,0.931545,0.933652,0.882376,0.917038,0.894904,0.878801,0.883438,0.906272,0.593516
sub-0055.npz,0.864619,0.000000,0.841320,0.772241,0.894385,0.869922,0.928739,0.931515,0.902307,0.919965,0.886869,0.846395,0.872294,0.945672,0.878152,0.898615,0.689313,0.906218,0.643887,0.845746,0.774137,0.880241,0.885686,0.933567,0.930125,0.895117,0.918750,0.879594,0.887855,0.888797,0.910834,0.680321
sub-0079.npz,0.864724,0.000000,0.855628,0.789843,0.890565,0.871291,0.931715,0.940492,0.907327,0.909277,0.887443,0.801031,0.834937,0.938246,0.881309,0.896327,0.811281,0.895832,0.667754,0.845863,0.780649,0.877689,0.876094,0.928362,0.934567,0.896351,0.912793,0.895846,0.861868,0.895385,0.902735,0.623209
sub-0080.npz,0.865393,0.000000,0.846774,0.775514,0.894041,0.872372,0.921413,0.938048,0.897308,0.915490,0.905109,0.831126,0.847220,0.943784,0.891438,0.894899,0.724952,0.898421,0.686983,0.841122,0.770236,0.880053,0.875409,0.927630,0.922031,0.887701,0.916954,0.889115,0.874432,0.860071,0.897467,0.734663
sub-0081.npz,0.860140,0.000000,0.858761,0.765520,0.890424,0.853907,0.913673,0.940439,0.892009,0.918273,0.896552,0.842265,0.836351,0.942817,0.861502,0.888840,0.733874,0.898139,0.614331,0.844570,0.759898,0.889592,0.848704,0.902430,0.938024,0.893494,0.920193,0.883008,0.883972,0.901094,0.901352,0.690179
